Port_Name,State,Port_Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Calais,Maine,0115,US-Canada Border,Sep-23,Pedestrians,3761,45.189,-67.275,POINT (-67.275381 45.188548)
Metaline Falls,Washington,3025,US-Canada Border,Sep-23,Bus Passengers,37,49,-117.299,POINT (-117.299444 48.999972)
Alexandria Bay,New York,0708,US-Canada Border,Sep-23,Rail Containers Loaded,0,44.347,-75.984,POINT (-75.983592 44.347229)
Tecate,California,2505,US-Mexico Border,Sep-23,Personal Vehicle Passengers,263763,32.576,-116.626,POINT (-116.626216 32.576428)
Roosville,Montana,3318,US-Canada Border,Sep-23,Rail Containers Loaded,0,49,-115.056,POINT (-115.056027 48.999638)
Antler,North Dakota,3413,US-Canada Border,Sep-23,Bus Passengers,0,48.999,-101.296,POINT (-101.296055 48.999472)
Skagway,Alaska,3103,US-Canada Border,Sep-23,Rail Containers Empty,0,59.63,-135.164,POINT (-135.164444 59.629722)
Opheim,Montana,3317,US-Canada Border,Sep-23,Buses,0,49,-106.378,POINT (-106.377583 48.999527)
Hansboro,North Dakota,3415,US-Canada Border,Sep-23,Buses,14,49,-99.347,POINT (-99.346527 48.999583)
Baudette,Minnesota,3424,US-Canada Border,Sep-23,Train Passengers,555,48.719,-94.59,POINT (-94.590467 48.719109)
Carbury,North Dakota,3421,US-Canada Border,Sep-23,Bus Passengers,0,48.999,-100.556,POINT (-100.555805 48.999416)
Norton,Vermont,0211,US-Canada Border,Sep-23,Personal Vehicle Passengers,9119,45.011,-71.793,POINT (-71.793219 45.010771)
St John,North Dakota,3405,US-Canada Border,Sep-23,Trains,0,48.999,-99.659,POINT (-99.659111 48.999277)
Richford,Vermont,0203,US-Canada Border,Sep-23,Trucks,990,45.012,-72.589,POINT (-72.588559 45.01174)
Scobey,Montana,3309,US-Canada Border,Sep-23,Rail Containers Empty,0,49,-105.408,POINT (-105.407638 48.999527)
Ambrose,North Dakota,3410,US-Canada Border,Sep-23,Rail Containers Loaded,0,48.999,-103.487,POINT (-103.486555 48.999305)
Jackman,Maine,0104,US-Canada Border,Sep-23,Train Passengers,117,45.806,-70.397,POINT (-70.396722 45.805661)
Limestone,Maine,0118,US-Canada Border,Sep-23,Rail Containers Loaded,0,46.925,-67.79,POINT (-67.789597 46.924555)
Neche,North Dakota,3404,US-Canada Border,Sep-23,Truck Containers Loaded,0,49.001,-97.557,POINT (-97.557333 49.000527)
Dunseith,North Dakota,3422,US-Canada Border,Sep-23,Personal Vehicle Passengers,23484,48.999,-100.052,POINT (-100.052166 48.999277)
Pinecreek,Minnesota,3425,US-Canada Border,Sep-23,Rail Containers Empty,0,49,-95.978,POINT (-95.977694 48.999916)
Point Roberts,Washington,3017,US-Canada Border,Sep-23,Personal Vehicles,103897,49.002,-123.068,POINT (-123.068055556 49.0020555547)
Fortuna,North Dakota,3417,US-Canada Border,Sep-23,Rail Containers Empty,0,49,-103.809,POINT (-103.80925 48.999555)
Vanceboro,Maine,0105,US-Canada Border,Sep-23,Personal Vehicle Passengers,7744,45.569,-67.429,POINT (-67.428541 45.568761)
Alcan,Alaska,3104,US-Canada Border,Sep-23,Pedestrians,0,62.615,-141.001,POINT (-141.001444 62.614961)
Fort Fairfield,Maine,0107,US-Canada Border,Sep-23,Buses,3,46.765,-67.789,POINT (-67.789471 46.765323)
Derby Line,Vermont,0209,US-Canada Border,Sep-23,Trucks,0,45.006,-72.099,POINT (-72.099279 45.005739)
Sumas,Washington,3009,US-Canada Border,Sep-23,Buses,0,49.002,-122.265,POINT (-122.264805 49.002388)
Hidalgo,Texas,2305,US-Mexico Border,Sep-23,Train Passengers,0,26.095,-98.271,POINT (-98.271092 26.095032)
Columbus,New Mexico,2406,US-Mexico Border,Sep-23,Pedestrians,11132,31.784,-107.628,POINT (-107.627948 31.783742)
Van Buren,Maine,0108,US-Canada Border,Sep-23,Pedestrians,1109,47.16,-67.931,POINT (-67.930799 47.159645)
