Port_Name,State,Port_Code,Border,Date,Measure,Value,Latitude,Longitude,Point
San Ysidro,California,2504,US-Mexico Border,Oct-23,Train Passengers,0,32.543,-117.029,POINT (-117.028761 32.542528)
Vanceboro,Maine,0105,US-Canada Border,Oct-23,Rail Containers Loaded,168,45.569,-67.429,POINT (-67.428541 45.568761)
Piegan,Montana,3316,US-Canada Border,Oct-23,Personal Vehicle Passengers,37835,48.998,-113.379,POINT (-113.378777 48.998083)
Raymond,Montana,3301,US-Canada Border,Oct-23,Trucks,1069,48.999,-104.574,POINT (-104.574333 48.999194)
Ogdensburg,New York,0701,US-Canada Border,Oct-23,Truck Containers Loaded,0,44.733,-75.458,POINT (-75.4577501759 44.7330898624)
Eastport,Idaho,3302,US-Canada Border,Oct-23,Rail Containers Loaded,1834,49.001,-116.181,POINT (-116.181027 49.000555)
Morgan,Montana,3319,US-Canada Border,Oct-23,Pedestrians,0,49,-107.832,POINT (-107.831819 48.999829)
Alcan,Alaska,3104,US-Canada Border,Oct-23,Truck Containers Empty,0,62.615,-141.001,POINT (-141.001444 62.614961)
Scobey,Montana,3309,US-Canada Border,Oct-23,Pedestrians,0,49,-105.408,POINT (-105.407638 48.999527)
Richford,Vermont,0203,US-Canada Border,Oct-23,Truck Containers Loaded,0,45.012,-72.589,POINT (-72.588559 45.01174)
Houlton,Maine,0106,US-Canada Border,Oct-23,Train Passengers,0,46.135,-67.781,POINT (-67.781288 46.134879)
Roma,Texas,2310,US-Mexico Border,Oct-23,Trucks,988,26.404,-99.019,POINT (-99.018981 26.403928)
Madawaska,Maine,0109,US-Canada Border,Oct-23,Rail Containers Loaded,0,47.36,-68.329,POINT (-68.328684 47.360052)
Ferry,Washington,3013,US-Canada Border,Oct-23,Truck Containers Loaded,0,49,-118.761,POINT (-118.761166 49.000083)
Dalton Cache,Alaska,3106,US-Canada Border,Oct-23,Train Passengers,0,59.451,-136.362,POINT (-136.361944 59.450556)
