Port_Name,State,Port_Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Hansboro,North Dakota,3415,US-Canada Border,Dec-23,Pedestrians,0,49,-99.347,POINT (-99.346527 48.999583)
Calais,Maine,0115,US-Canada Border,Dec-23,Bus Passengers,570,45.189,-67.275,POINT (-67.275381 45.188548)
Santa Teresa,New Mexico,2408,US-Mexico Border,Dec-23,Bus Passengers,0,31.784,-106.679,POINT (-106.679437 31.783939)
Dunseith,North Dakota,3422,US-Canada Border,Dec-23,Buses,36,48.999,-100.052,POINT (-100.052166 48.999277)
Laurier,Washington,3016,US-Canada Border,Dec-23,Truck Containers Loaded,0,49,-118.224,POINT (-118.223777 49.000083)
Sumas,Washington,3009,US-Canada Border,Dec-23,Bus Passengers,3614,49.002,-122.265,POINT (-122.264805 49.002388)
Noonan,North Dakota,3420,US-Canada Border,Dec-23,Pedestrians,0,48.999,-103.004,POINT (-103.004361 48.999333)
Whitlash,Montana,3321,US-Canada Border,Dec-23,Rail Containers Empty,0,48.997,-111.258,POINT (-111.257916 48.99725)
Calais,Maine,0115,US-Canada Border,Dec-23,Personal Vehicles,126094,45.189,-67.275,POINT (-67.275381 45.188548)
Del Bonita,Montana,3322,US-Canada Border,Dec-23,Trucks,80,48.999,-112.788,POINT (-112.78825 48.998555)
Limestone,Maine,0118,US-Canada Border,Dec-23,Trucks,409,46.925,-67.79,POINT (-67.789597 46.924555)
Point Roberts,Washington,3017,US-Canada Border,Dec-23,Trucks,469,49.002,-123.068,POINT (-123.068055556 49.0020555547)
Laurier,Washington,3016,US-Canada Border,Dec-23,Pedestrians,50,49,-118.224,POINT (-118.223777 49.000083)
San Luis,Arizona,2608,US-Mexico Border,Dec-23,Rail Containers Loaded,0,32.485,-114.782,POINT (-114.7822222 32.485)
Grand Portage,Minnesota,3613,US-Canada Border,Dec-23,Bus Passengers,3681,48.001,-89.585,POINT (-89.58515 48.001427)
Calexico East,California,2507,US-Mexico Border,Dec-23,Trucks,16123,32.673,-115.388,POINT (-115.388018 32.673389)
Derby Line,Vermont,0209,US-Canada Border,Dec-23,Buses,52,45.006,-72.099,POINT (-72.099279 45.005739)
Jackman,Maine,0104,US-Canada Border,Dec-23,Personal Vehicle Passengers,22970,45.806,-70.397,POINT (-70.396722 45.805661)
Madawaska,Maine,0109,US-Canada Border,Dec-23,Trains,0,47.36,-68.329,POINT (-68.328684 47.360052)
Sarles,North Dakota,3409,US-Canada Border,Dec-23,Truck Containers Loaded,0,49,-98.938,POINT (-98.938361 49.000027)
Ferry,Washington,3013,US-Canada Border,Dec-23,Rail Containers Loaded,0,49,-118.761,POINT (-118.761166 49.000083)
Fortuna,North Dakota,3417,US-Canada Border,Dec-23,Buses,16,49,-103.809,POINT (-103.80925 48.999555)
Houlton,Maine,0106,US-Canada Border,Dec-23,Rail Containers Empty,0,46.135,-67.781,POINT (-67.781288 46.134879)
Progreso,Texas,2309,US-Mexico Border,Dec-23,Personal Vehicles,84742,26.062,-97.95,POINT (-97.949958 26.062133)
El Paso,Texas,2402,US-Mexico Border,Dec-23,Trains,78,31.764,-106.451,POINT (-106.451188 31.764363)
Andrade,California,2502,US-Mexico Border,Dec-23,Rail Containers Loaded,0,32.718,-114.728,POINT (-114.72832 32.718143)
Sweetgrass,Montana,3310,US-Canada Border,Dec-23,Pedestrians,926,48.998,-111.96,POINT (-111.959611 48.998388)
