Port_Name,State,Port_Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Laurier,Washington,3016,US-Canada Border,Feb-24,Truck Containers Loaded,0,49,-118.224,POINT (-118.223777 49.000083)
Porthill,Idaho,3308,US-Canada Border,Feb-24,Rail Containers Empty,0,49,-116.499,POINT (-116.49925 48.999861)
Sumas,Washington,3009,US-Canada Border,Feb-24,Rail Containers Empty,0,49.002,-122.265,POINT (-122.264805 49.002388)
Roma,Texas,2310,US-Mexico Border,Feb-24,Pedestrians,34194,26.404,-99.019,POINT (-99.018981 26.403928)
Eastport,Idaho,3302,US-Canada Border,Feb-24,Pedestrians,175,49.001,-116.181,POINT (-116.181027 49.000555)
Portland,Maine,0101,US-Canada Border,Feb-24,Trucks,0,43.659,-70.243,POINT (-70.243056 43.659444)
Ferry,Washington,3013,US-Canada Border,Feb-24,Truck Containers Empty,0,49,-118.761,POINT (-118.761166 49.000083)
Derby Line,Vermont,0209,US-Canada Border,Feb-24,Rail Containers Empty,0,45.006,-72.099,POINT (-72.099279 45.005739)
Sweetgrass,Montana,3310,US-Canada Border,Feb-24,Train Passengers,116,48.998,-111.96,POINT (-111.959611 48.998388)
Northgate,North Dakota,3406,US-Canada Border,Feb-24,Personal Vehicles,1109,48.999,-102.275,POINT (-102.27475 48.998833)
Boundary,Washington,3015,US-Canada Border,Feb-24,Buses,3,49.001,-117.628,POINT (-117.627583 49.00075)
Laurier,Washington,3016,US-Canada Border,Feb-24,Rail Containers Loaded,0,49,-118.224,POINT (-118.223777 49.000083)
Dalton Cache,Alaska,3106,US-Canada Border,Feb-24,Rail Containers Loaded,0,59.451,-136.362,POINT (-136.361944 59.450556)
St John,North Dakota,3405,US-Canada Border,Feb-24,Truck Containers Loaded,0,48.999,-99.659,POINT (-99.659111 48.999277)
Raymond,Montana,3301,US-Canada Border,Feb-24,Personal Vehicle Passengers,11255,48.999,-104.574,POINT (-104.574333 48.999194)
Nogales,Arizona,2604,US-Mexico Border,Feb-24,Pedestrians,381238,31.333,-110.943,POINT (-110.942516 31.332839)
Hidalgo,Texas,2305,US-Mexico Border,Feb-24,Rail Containers Loaded,0,26.095,-98.271,POINT (-98.271092 26.095032)
Walhalla,North Dakota,3407,US-Canada Border,Feb-24,Pedestrians,0,49,-97.908,POINT (-97.908416 49.000472)
Scobey,Montana,3309,US-Canada Border,Feb-24,Personal Vehicle Passengers,0,49,-105.408,POINT (-105.407638 48.999527)
Sherwood,North Dakota,3414,US-Canada Border,Feb-24,Truck Containers Loaded,0,48.999,-101.628,POINT (-101.627527 48.999305)
Turner,Montana,3306,US-Canada Border,Feb-24,Personal Vehicles,473,49,-108.388,POINT (-108.387916 48.999527)
Fort Kent,Maine,0110,US-Canada Border,Feb-24,Rail Containers Empty,0,47.249,-68.604,POINT (-68.603918 47.249206)
Portal,North Dakota,3403,US-Canada Border,Feb-24,Trains,123,48.999,-102.552,POINT (-102.551944 48.998944)
Sherwood,North Dakota,3414,US-Canada Border,Feb-24,Truck Containers Loaded,0,48.999,-101.628,POINT (-101.627527 48.999305)
Richford,Vermont,0203,US-Canada Border,Feb-24,Pedestrians,0,45.012,-72.589,POINT (-72.588559 45.01174)
Sasabe,Arizona,2606,US-Mexico Border,Feb-24,Train Passengers,0,31.483,-111.544,POINT (-111.544363 31.483039)
Danville,Washington,3012,US-Canada Border,Feb-24,Rail Containers Empty,0,49,-118.504,POINT (-118.503722 49.000083)
Nogales,Arizona,2604,US-Mexico Border,Feb-24,Train Passengers,0,31.333,-110.943,POINT (-110.942516 31.332839)
Westhope,North Dakota,3419,US-Canada Border,Feb-24,Personal Vehicles,883,49,-101.017,POINT (-101.017277 48.999611)
Madawaska,Maine,0109,US-Canada Border,Feb-24,Bus Passengers,108,47.36,-68.329,POINT (-68.328684 47.360052)
Morgan,Montana,3319,US-Canada Border,Feb-24,Train Passengers,0,49,-107.832,POINT (-107.831819 48.999829)
Pembina,North Dakota,3401,US-Canada Border,Feb-24,Rail Containers Empty,0,49,-97.237,POINT (-97.237036 49.000453)
Boundary,Washington,3015,US-Canada Border,Feb-24,Buses,0,49.001,-117.628,POINT (-117.627583 49.00075)
Grand Portage,Minnesota,3613,US-Canada Border,Feb-24,Train Passengers,0,48.001,-89.585,POINT (-89.58515 48.001427)
San Luis,Arizona,2608,US-Mexico Border,Feb-24,Bus Passengers,123,32.485,-114.782,POINT (-114.7822222 32.485)
Calais,Maine,0115,US-Canada Border,Feb-24,Buses,143,45.189,-67.275,POINT (-67.275381 45.188548)
Rio Grande City,Texas,2307,US-Mexico Border,Feb-24,Bus Passengers,0,26.366,-98.803,POINT (-98.802513 26.365761)
Sumas,Washington,3009,US-Canada Border,Feb-24,Rail Containers Empty,119,49.002,-122.265,POINT (-122.264805 49.002388)
Carbury,North Dakota,3421,US-Canada Border,Feb-24,Truck Containers Loaded,0,48.999,-100.556,POINT (-100.555805 48.999416)
Tornillo,Texas,2404,US-Mexico Border,Feb-24,Rail Containers Empty,0,31.435,-106.143,POINT (-106.142669 31.435334)
San Ysidro,California,2504,US-Mexico Border,Feb-24,Rail Containers Empty,0,32.543,-117.029,POINT (-117.028761 32.542528)
Frontier,Washington,3020,US-Canada Border,Feb-24,Bus Passengers,613,49,-117.832,POINT (-117.831527 49.0005)
Sasabe,Arizona,2606,US-Mexico Border,Feb-24,Rail Containers Empty,0,31.483,-111.544,POINT (-111.544363 31.483039)
Nighthawk,Washington,3011,US-Canada Border,Feb-24,Trucks,2,49,-119.671,POINT (-119.67103 49.000144)
Buffalo Niagara Falls,New York,0901,US-Canada Border,Feb-24,Rail Containers Empty,0,43.095,-79.056,POINT (-79.055847 43.09549)
Nogales,Arizona,2604,US-Mexico Border,Feb-24,Rail Containers Loaded,819,31.333,-110.943,POINT (-110.942516 31.332839)
Portland,Maine,0101,US-Canada Border,Feb-24,Trains,0,43.659,-70.243,POINT (-70.243056 43.659444)
Trout River,New York,0715,US-Canada Border,Feb-24,Personal Vehicles,11814,44.992,-74.308,POINT (-74.308172 44.992058)
Pembina,North Dakota,3401,US-Canada Border,Feb-24,Personal Vehicles,35839,49,-97.237,POINT (-97.237036 49.000453)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Feb-24,Bus Passengers,10015,46.509,-84.361,POINT (-84.360833 46.508611)
Hidalgo,Texas,2305,US-Mexico Border,Feb-24,Train Passengers,0,26.095,-98.271,POINT (-98.271092 26.095032)
Whitlash,Montana,3321,US-Canada Border,Feb-24,Personal Vehicles,94,48.997,-111.258,POINT (-111.257916 48.99725)
San Ysidro,California,2504,US-Mexico Border,Feb-24,Trucks,0,32.543,-117.029,POINT (-117.028761 32.542528)
Portland,Maine,0101,US-Canada Border,Feb-24,Personal Vehicles,0,43.659,-70.243,POINT (-70.243056 43.659444)
Bridgewater,Maine,0127,US-Canada Border,Feb-24,Trains,0,46.45,-67.785,POINT (-67.78484 46.450335)
Westhope,North Dakota,3419,US-Canada Border,Feb-24,Personal Vehicle Passengers,1394,49,-101.017,POINT (-101.017277 48.999611)
Dunseith,North Dakota,3422,US-Canada Border,Feb-24,Rail Containers Empty,0,48.999,-100.052,POINT (-100.052166 48.999277)
Nogales,Arizona,2604,US-Mexico Border,Feb-24,Pedestrians,0,31.333,-110.943,POINT (-110.942516 31.332839)
Beecher Falls,Vermont,0206,US-Canada Border,Feb-24,Personal Vehicle Passengers,11293,45.013,-71.505,POINT (-71.505309 45.013411)
Houlton,Maine,0106,US-Canada Border,Feb-24,Buses,17,46.135,-67.781,POINT (-67.781288 46.134879)
Calexico,California,2503,US-Mexico Border,Feb-24,Rail Containers Empty,387,32.673,-115.388,POINT (-115.388018 32.673389)
Whitetail,Montana,3312,US-Canada Border,Feb-24,Buses,0,48.999,-105.162,POINT (-105.162324 48.999347)
Piegan,Montana,3316,US-Canada Border,Feb-24,Bus Passengers,2591,48.998,-113.379,POINT (-113.378777 48.998083)
International Falls,Minnesota,3604,US-Canada Border,Feb-24,Rail Containers Loaded,0,48.608,-93.401,POINT (-93.401355 48.6078)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Feb-24,Personal Vehicle Passengers,357600,46.509,-84.361,POINT (-84.360833 46.508611)
Laurier,Washington,3016,US-Canada Border,Feb-24,Truck Containers Empty,0,49,-118.224,POINT (-118.223777 49.000083)
El Paso,Texas,2402,US-Mexico Border,Feb-24,Trucks,52111,31.764,-106.451,POINT (-106.451188 31.764363)
Walhalla,North Dakota,3407,US-Canada Border,Feb-24,Truck Containers Loaded,0,49,-97.908,POINT (-97.908416 49.000472)
Porthill,Idaho,3308,US-Canada Border,Feb-24,Buses,4,49,-116.499,POINT (-116.49925 48.999861)
Del Rio,Texas,2302,US-Mexico Border,Feb-24,Buses,598,29.327,-100.928,POINT (-100.927612 29.326784)
Dunseith,North Dakota,3422,US-Canada Border,Feb-24,Train Passengers,0,48.999,-100.052,POINT (-100.052166 48.999277)
Alexandria Bay,New York,0708,US-Canada Border,Feb-24,Trains,0,44.347,-75.984,POINT (-75.983592 44.347229)
Whitlash,Montana,3321,US-Canada Border,Feb-24,Personal Vehicle Passengers,255,48.997,-111.258,POINT (-111.257916 48.99725)
Piegan,Montana,3316,US-Canada Border,Feb-24,Pedestrians,2,48.998,-113.379,POINT (-113.378777 48.998083)
Houlton,Maine,0106,US-Canada Border,Feb-24,Trucks,9175,46.135,-67.781,POINT (-67.781288 46.134879)
Ferry,Washington,3013,US-Canada Border,Feb-24,Personal Vehicles,1391,49,-118.761,POINT (-118.761166 49.000083)
Tecate,California,2505,US-Mexico Border,Feb-24,Personal Vehicle Passengers,258110,32.576,-116.626,POINT (-116.626216 32.576428)
Derby Line,Vermont,0209,US-Canada Border,Feb-24,Trains,0,45.006,-72.099,POINT (-72.099279 45.005739)
Houlton,Maine,0106,US-Canada Border,Feb-24,Rail Containers Loaded,0,46.135,-67.781,POINT (-67.781288 46.134879)
Portal,North Dakota,3403,US-Canada Border,Feb-24,Bus Passengers,1081,48.999,-102.552,POINT (-102.551944 48.998944)
Tornillo,Texas,2404,US-Mexico Border,Feb-24,Pedestrians,1645,31.435,-106.143,POINT (-106.142669 31.435334)
Walhalla,North Dakota,3407,US-Canada Border,Feb-24,Trains,0,49,-97.908,POINT (-97.908416 49.000472)
Otay Mesa,California,2506,US-Mexico Border,Feb-24,Personal Vehicles,272861,32.55,-116.939,POINT (-116.938538 32.55033)
Nighthawk,Washington,3011,US-Canada Border,Feb-24,Pedestrians,21,49,-119.671,POINT (-119.67103 49.000144)
Norton,Vermont,0211,US-Canada Border,Feb-24,Trains,50,45.011,-71.793,POINT (-71.793219 45.010771)
Blaine,Washington,3004,US-Canada Border,Feb-24,Trucks,28808,48.994,-122.749,POINT (-122.748884 48.994045)
Noonan,North Dakota,3420,US-Canada Border,Feb-24,Personal Vehicles,4288,48.999,-103.004,POINT (-103.004361 48.999333)
Portland,Maine,0101,US-Canada Border,Feb-24,Trains,0,43.659,-70.243,POINT (-70.243056 43.659444)
Alcan,Alaska,3104,US-Canada Border,Feb-24,Trains,0,62.615,-141.001,POINT (-141.001444 62.614961)
Fort Kent,Maine,0110,US-Canada Border,Feb-24,Bus Passengers,14,47.249,-68.604,POINT (-68.603918 47.249206)
Hidalgo,Texas,2305,US-Mexico Border,Feb-24,Rail Containers Loaded,0,26.095,-98.271,POINT (-98.271092 26.095032)
Sarles,North Dakota,3409,US-Canada Border,Feb-24,Rail Containers Empty,0,49,-98.938,POINT (-98.938361 49.000027)
Scobey,Montana,3309,US-Canada Border,Feb-24,Train Passengers,0,49,-105.408,POINT (-105.407638 48.999527)
Derby Line,Vermont,0209,US-Canada Border,Feb-24,Trucks,7430,45.006,-72.099,POINT (-72.099279 45.005739)
Morgan,Montana,3319,US-Canada Border,Feb-24,Personal Vehicle Passengers,711,49,-107.832,POINT (-107.831819 48.999829)
Metaline Falls,Washington,3025,US-Canada Border,Feb-24,Personal Vehicles,3238,49,-117.299,POINT (-117.299444 48.999972)
Pembina,North Dakota,3401,US-Canada Border,Feb-24,Personal Vehicles,21328,49,-97.237,POINT (-97.237036 49.000453)
Van Buren,Maine,0108,US-Canada Border,Feb-24,Rail Containers Loaded,0,47.16,-67.931,POINT (-67.930799 47.159645)
Westhope,North Dakota,3419,US-Canada Border,Feb-24,Truck Containers Loaded,0,49,-101.017,POINT (-101.017277 48.999611)
Port Huron,Michigan,3802,US-Canada Border,Feb-24,Pedestrians,3175,42.999,-82.424,POINT (-82.423611 42.998611)
Frontier,Washington,3020,US-Canada Border,Feb-24,Truck Containers Empty,0,49,-117.832,POINT (-117.831527 49.0005)
Van Buren,Maine,0108,US-Canada Border,Feb-24,Trucks,1878,47.16,-67.931,POINT (-67.930799 47.159645)
Frontier,Washington,3020,US-Canada Border,Feb-24,Truck Containers Empty,0,49,-117.832,POINT (-117.831527 49.0005)
Piegan,Montana,3316,US-Canada Border,Feb-24,Trucks,204,48.998,-113.379,POINT (-113.378777 48.998083)
Oroville,Washington,3019,US-Canada Border,Feb-24,Train Passengers,0,49,-119.462,POINT (-119.461833 49.000083)
Norton,Vermont,0211,US-Canada Border,Feb-24,Personal Vehicle Passengers,10372,45.011,-71.793,POINT (-71.793219 45.010771)
Rio Grande City,Texas,2307,US-Mexico Border,Feb-24,Trucks,1428,26.366,-98.803,POINT (-98.802513 26.365761)
Alexandria Bay,New York,0708,US-Canada Border,Feb-24,Personal Vehicle Passengers,165440,44.347,-75.984,POINT (-75.983592 44.347229)
Whitetail,Montana,3312,US-Canada Border,Feb-24,Personal Vehicles,659,48.999,-105.162,POINT (-105.162324 48.999347)
Douglas,Arizona,2601,US-Mexico Border,Feb-24,Trains,0,31.334,-109.56,POINT (-109.560344 31.334043)
Ferry,Washington,3013,US-Canada Border,Feb-24,Trucks,331,49,-118.761,POINT (-118.761166 49.000083)
Morgan,Montana,3319,US-Canada Border,Feb-24,Truck Containers Empty,0,49,-107.832,POINT (-107.831819 48.999829)
Turner,Montana,3306,US-Canada Border,Feb-24,Bus Passengers,62,49,-108.388,POINT (-108.387916 48.999527)
Fort Kent,Maine,0110,US-Canada Border,Feb-24,Personal Vehicles,27300,47.249,-68.604,POINT (-68.603918 47.249206)
Hidalgo,Texas,2305,US-Mexico Border,Feb-24,Rail Containers Loaded,0,26.095,-98.271,POINT (-98.271092 26.095032)
Santa Teresa,New Mexico,2408,US-Mexico Border,Feb-24,Personal Vehicles,7205,31.784,-106.679,POINT (-106.679437 31.783939)
Progreso,Texas,2309,US-Mexico Border,Feb-24,Rail Containers Loaded,0,26.062,-97.95,POINT (-97.949958 26.062133)
Vanceboro,Maine,0105,US-Canada Border,Feb-24,Truck Containers Empty,324,45.569,-67.429,POINT (-67.428541 45.568761)
Pembina,North Dakota,3401,US-Canada Border,Feb-24,Train Passengers,0,49,-97.237,POINT (-97.237036 49.000453)
Laredo,Texas,2304,US-Mexico Border,Feb-24,Rail Containers Loaded,6544,27.5,-99.507,POINT (-99.507412 27.499561)
Point Roberts,Washington,3017,US-Canada Border,Feb-24,Personal Vehicles,69278,49.002,-123.068,POINT (-123.068055556 49.0020555547)
Point Roberts,Washington,3017,US-Canada Border,Feb-24,Pedestrians,997,49.002,-123.068,POINT (-123.068055556 49.0020555547)
Hannah,North Dakota,3408,US-Canada Border,Feb-24,Truck Containers Empty,0,49,-98.694,POINT (-98.693777 49.000138)
Houlton,Maine,0106,US-Canada Border,Feb-24,Trucks,8798,46.135,-67.781,POINT (-67.781288 46.134879)
Buffalo Niagara Falls,New York,0901,US-Canada Border,Feb-24,Personal Vehicle Passengers,2167043,43.095,-79.056,POINT (-79.055847 43.09549)
Limestone,Maine,0118,US-Canada Border,Feb-24,Personal Vehicles,4778,46.925,-67.79,POINT (-67.789597 46.924555)
Calexico,California,2503,US-Mexico Border,Feb-24,Rail Containers Loaded,83,32.673,-115.388,POINT (-115.388018 32.673389)
Scobey,Montana,3309,US-Canada Border,Feb-24,Rail Containers Loaded,0,49,-105.408,POINT (-105.407638 48.999527)
Maida,North Dakota,3416,US-Canada Border,Feb-24,Truck Containers Loaded,0,49,-98.365,POINT (-98.36525 49.00025)
Antler,North Dakota,3413,US-Canada Border,Feb-24,Rail Containers Loaded,0,48.999,-101.296,POINT (-101.296055 48.999472)
Santa Teresa,New Mexico,2408,US-Mexico Border,Feb-24,Pedestrians,78,31.784,-106.679,POINT (-106.679437 31.783939)
Roosville,Montana,3318,US-Canada Border,Feb-24,Trucks,1824,49,-115.056,POINT (-115.056027 48.999638)
Noonan,North Dakota,3420,US-Canada Border,Feb-24,Rail Containers Loaded,0,48.999,-103.004,POINT (-103.004361 48.999333)
Port Huron,Michigan,3802,US-Canada Border,Feb-24,Trucks,48385,42.999,-82.424,POINT (-82.423611 42.998611)
Roseau,Minnesota,3426,US-Canada Border,Feb-24,Truck Containers Loaded,26,49,-95.766,POINT (-95.766469 48.999538)
Frontier,Washington,3020,US-Canada Border,Feb-24,Bus Passengers,110,49,-117.832,POINT (-117.831527 49.0005)
Maida,North Dakota,3416,US-Canada Border,Feb-24,Personal Vehicle Passengers,2494,49,-98.365,POINT (-98.36525 49.00025)
Bridgewater,Maine,0127,US-Canada Border,Feb-24,Personal Vehicle Passengers,30493,46.45,-67.785,POINT (-67.78484 46.450335)
Scobey,Montana,3309,US-Canada Border,Feb-24,Rail Containers Loaded,0,49,-105.408,POINT (-105.407638 48.999527)
Porthill,Idaho,3308,US-Canada Border,Feb-24,Trains,0,49,-116.499,POINT (-116.49925 48.999861)
Van Buren,Maine,0108,US-Canada Border,Feb-24,Personal Vehicle Passengers,81315,47.16,-67.931,POINT (-67.930799 47.159645)
Fortuna,North Dakota,3417,US-Canada Border,Feb-24,Truck Containers Loaded,0,49,-103.809,POINT (-103.80925 48.999555)
Hidalgo,Texas,2305,US-Mexico Border,Feb-24,Personal Vehicle Passengers,1777570,26.095,-98.271,POINT (-98.271092 26.095032)
Skagway,Alaska,3103,US-Canada Border,Feb-24,Truck Containers Loaded,0,59.63,-135.164,POINT (-135.164444 59.629722)
Maida,North Dakota,3416,US-Canada Border,Feb-24,Buses,4,49,-98.365,POINT (-98.36525 49.00025)
Roma,Texas,2310,US-Mexico Border,Feb-24,Personal Vehicles,100834,26.404,-99.019,POINT (-99.018981 26.403928)
Nighthawk,Washington,3011,US-Canada Border,Feb-24,Buses,0,49,-119.671,POINT (-119.67103 49.000144)
Detroit,Michigan,3801,US-Canada Border,Feb-24,Bus Passengers,31067,42.332,-83.048,POINT (-83.047924 42.331685)
Del Rio,Texas,2302,US-Mexico Border,Feb-24,Personal Vehicle Passengers,449552,29.327,-100.928,POINT (-100.927612 29.326784)
Bridgewater,Maine,0127,US-Canada Border,Feb-24,Truck Containers Empty,0,46.45,-67.785,POINT (-67.78484 46.450335)
Sweetgrass,Montana,3310,US-Canada Border,Feb-24,Buses,71,48.998,-111.96,POINT (-111.959611 48.998388)
Noonan,North Dakota,3420,US-Canada Border,Feb-24,Rail Containers Loaded,0,48.999,-103.004,POINT (-103.004361 48.999333)
Portland,Maine,0101,US-Canada Border,Feb-24,Trucks,0,43.659,-70.243,POINT (-70.243056 43.659444)
Norton,Vermont,0211,US-Canada Border,Feb-24,Truck Containers Loaded,1276,45.011,-71.793,POINT (-71.793219 45.010771)
Metaline Falls,Washington,3025,US-Canada Border,Feb-24,Truck Containers Empty,38,49,-117.299,POINT (-117.299444 48.999972)
El Paso,Texas,2402,US-Mexico Border,Feb-24,Trains,72,31.764,-106.451,POINT (-106.451188 31.764363)
Van Buren,Maine,0108,US-Canada Border,Feb-24,Rail Containers Empty,0,47.16,-67.931,POINT (-67.930799 47.159645)
Pinecreek,Minnesota,3425,US-Canada Border,Feb-24,Truck Containers Loaded,0,49,-95.978,POINT (-95.977694 48.999916)
Laredo,Texas,2304,US-Mexico Border,Feb-24,Pedestrians,395853,27.5,-99.507,POINT (-99.507412 27.499561)
Presidio,Texas,2403,US-Mexico Border,Feb-24,Pedestrians,894,29.562,-104.395,POINT (-104.394907 29.561827)
Northgate,North Dakota,3406,US-Canada Border,Feb-24,Personal Vehicle Passengers,3330,48.999,-102.275,POINT (-102.27475 48.998833)
Buffalo Niagara Falls,New York,0901,US-Canada Border,Feb-24,Pedestrians,3859,43.095,-79.056,POINT (-79.055847 43.09549)
Brownsville,Texas,2301,US-Mexico Border,Feb-24,Buses,432,25.952,-97.401,POINT (-97.40067 25.95155)
Jackman,Maine,0104,US-Canada Border,Feb-24,Personal Vehicle Passengers,24225,45.806,-70.397,POINT (-70.396722 45.805661)
Noyes,Minnesota,3402,US-Canada Border,Feb-24,Personal Vehicle Passengers,5449,49,-97.207,POINT (-97.206601 49.000171)
Northgate,North Dakota,3406,US-Canada Border,Feb-24,Rail Containers Empty,0,48.999,-102.275,POINT (-102.27475 48.998833)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Feb-24,Personal Vehicle Passengers,336787,46.509,-84.361,POINT (-84.360833 46.508611)
Portal,North Dakota,3403,US-Canada Border,Feb-24,Truck Containers Empty,0,48.999,-102.552,POINT (-102.551944 48.998944)
Portland,Maine,0101,US-Canada Border,Feb-24,Truck Containers Loaded,5,43.659,-70.243,POINT (-70.243056 43.659444)
Laurier,Washington,3016,US-Canada Border,Feb-24,Rail Containers Empty,0,49,-118.224,POINT (-118.223777 49.000083)
Tornillo,Texas,2404,US-Mexico Border,Feb-24,Trucks,13,31.435,-106.143,POINT (-106.142669 31.435334)
Porthill,Idaho,3308,US-Canada Border,Feb-24,Trains,0,49,-116.499,POINT (-116.49925 48.999861)
Westhope,North Dakota,3419,US-Canada Border,Feb-24,Rail Containers Empty,0,49,-101.017,POINT (-101.017277 48.999611)
Metaline Falls,Washington,3025,US-Canada Border,Feb-24,Rail Containers Loaded,0,49,-117.299,POINT (-117.299444 48.999972)
Vanceboro,Maine,0105,US-Canada Border,Feb-24,Trains,21,45.569,-67.429,POINT (-67.428541 45.568761)
Antler,North Dakota,3413,US-Canada Border,Feb-24,Personal Vehicle Passengers,2324,48.999,-101.296,POINT (-101.296055 48.999472)
Scobey,Montana,3309,US-Canada Border,Feb-24,Rail Containers Loaded,0,49,-105.408,POINT (-105.407638 48.999527)
Rio Grande City,Texas,2307,US-Mexico Border,Feb-24,Personal Vehicles,46517,26.366,-98.803,POINT (-98.802513 26.365761)
Hidalgo,Texas,2305,US-Mexico Border,Feb-24,Train Passengers,0,26.095,-98.271,POINT (-98.271092 26.095032)
Hansboro,North Dakota,3415,US-Canada Border,Feb-24,Train Passengers,0,49,-99.347,POINT (-99.346527 48.999583)
Detroit,Michigan,3801,US-Canada Border,Feb-24,Buses,1676,42.332,-83.048,POINT (-83.047924 42.331685)
Jackman,Maine,0104,US-Canada Border,Feb-24,Personal Vehicle Passengers,24825,45.806,-70.397,POINT (-70.396722 45.805661)
Grand Portage,Minnesota,3613,US-Canada Border,Feb-24,Truck Containers Empty,691,48.001,-89.585,POINT (-89.58515 48.001427)
Noyes,Minnesota,3402,US-Canada Border,Feb-24,Trains,121,49,-97.207,POINT (-97.206601 49.000171)
Andrade,California,2502,US-Mexico Border,Feb-24,Train Passengers,0,32.718,-114.728,POINT (-114.72832 32.718143)
Hidalgo,Texas,2305,US-Mexico Border,Feb-24,Bus Passengers,58679,26.095,-98.271,POINT (-98.271092 26.095032)
Richford,Vermont,0203,US-Canada Border,Feb-24,Truck Containers Empty,0,45.012,-72.589,POINT (-72.588559 45.01174)
Eastport,Idaho,3302,US-Canada Border,Feb-24,Truck Containers Empty,37,49.001,-116.181,POINT (-116.181027 49.000555)
