Port_Name,State,Port_Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Rio Grande City,Texas,2307,US-Mexico Border,Feb-24,Train Passengers,0,26.366,-98.803,POINT (-98.802513 26.365761)
Whitetail,Montana,3312,US-Canada Border,Feb-24,Truck Containers Empty,0,48.999,-105.162,POINT (-105.162324 48.999347)
Del Rio,Texas,2302,US-Mexico Border,Feb-24,Buses,598,29.327,-100.928,POINT (-100.927612 29.326784)
Progreso,Texas,2309,US-Mexico Border,Feb-24,Personal Vehicles,85269,26.062,-97.95,POINT (-97.949958 26.062133)
Columbus,New Mexico,2406,US-Mexico Border,Feb-24,Trains,0,31.784,-107.628,POINT (-107.627948 31.783742)
Lukeville,Arizona,2602,US-Mexico Border,Feb-24,Personal Vehicles,19016,31.88,-112.817,POINT (-112.817077 31.880195)
Walhalla,North Dakota,3407,US-Canada Border,Feb-24,Train Passengers,0,49,-97.908,POINT (-97.908416 49.000472)
Raymond,Montana,3301,US-Canada Border,Feb-24,Trucks,1473,48.999,-104.574,POINT (-104.574333 48.999194)
Metaline Falls,Washington,3025,US-Canada Border,Feb-24,Trucks,450,49,-117.299,POINT (-117.299444 48.999972)
Buffalo Niagara Falls,New York,0901,US-Canada Border,Feb-24,Personal Vehicles,527932,43.095,-79.056,POINT (-79.055847 43.09549)
Neche,North Dakota,3404,US-Canada Border,Feb-24,Personal Vehicle Passengers,9863,49.001,-97.557,POINT (-97.557333 49.000527)
Tornillo,Texas,2404,US-Mexico Border,Feb-24,Truck Containers Empty,0,31.435,-106.143,POINT (-106.142669 31.435334)
Pembina,North Dakota,3401,US-Canada Border,Feb-24,Bus Passengers,4909,49,-97.237,POINT (-97.237036 49.000453)
Alcan,Alaska,3104,US-Canada Border,Feb-24,Buses,236,62.615,-141.001,POINT (-141.001444 62.614961)
San Luis,Arizona,2608,US-Mexico Border,Feb-24,Rail Containers Loaded,0,32.485,-114.782,POINT (-114.7822222 32.485)
Champlain Rouses Point,New York,0712,US-Canada Border,Feb-24,Bus Passengers,25185,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Neche,North Dakota,3404,US-Canada Border,Feb-24,Pedestrians,5,49.001,-97.557,POINT (-97.557333 49.000527)
Otay Mesa,California,2506,US-Mexico Border,Feb-24,Buses,1684,32.55,-116.939,POINT (-116.938538 32.55033)
Fortuna,North Dakota,3417,US-Canada Border,Feb-24,Personal Vehicles,1611,49,-103.809,POINT (-103.80925 48.999555)
Otay Mesa,California,2506,US-Mexico Border,Feb-24,Trains,20,32.55,-116.939,POINT (-116.938538 32.55033)
Hidalgo,Texas,2305,US-Mexico Border,Feb-24,Truck Containers Loaded,10872,26.095,-98.271,POINT (-98.271092 26.095032)
Madawaska,Maine,0109,US-Canada Border,Feb-24,Train Passengers,75,47.36,-68.329,POINT (-68.328684 47.360052)
Del Bonita,Montana,3322,US-Canada Border,Feb-24,Trucks,62,48.999,-112.788,POINT (-112.78825 48.998555)
Whitetail,Montana,3312,US-Canada Border,Feb-24,Truck Containers Empty,0,48.999,-105.162,POINT (-105.162324 48.999347)
Van Buren,Maine,0108,US-Canada Border,Feb-24,Pedestrians,350,47.16,-67.931,POINT (-67.930799 47.159645)
Bridgewater,Maine,0127,US-Canada Border,Feb-24,Rail Containers Empty,0,46.45,-67.785,POINT (-67.78484 46.450335)
Laurier,Washington,3016,US-Canada Border,Feb-24,Trucks,1076,49,-118.224,POINT (-118.223777 49.000083)
Trout River,New York,0715,US-Canada Border,Feb-24,Truck Containers Empty,0,44.992,-74.308,POINT (-74.308172 44.992058)
Tecate,California,2505,US-Mexico Border,Feb-24,Bus Passengers,1012,32.576,-116.626,POINT (-116.626216 32.576428)
Portal,North Dakota,3403,US-Canada Border,Feb-24,Truck Containers Empty,0,48.999,-102.552,POINT (-102.551944 48.998944)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Feb-24,Bus Passengers,8855,46.509,-84.361,POINT (-84.360833 46.508611)
Westhope,North Dakota,3419,US-Canada Border,Feb-24,Trains,0,49,-101.017,POINT (-101.017277 48.999611)
Jackman,Maine,0104,US-Canada Border,Feb-24,Pedestrians,138,45.806,-70.397,POINT (-70.396722 45.805661)
