Port_Name,State,Port_Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Ambrose,North Dakota,3410,US-Canada Border,Nov-23,Truck Containers Empty,0,48.999,-103.487,POINT (-103.486555 48.999305)
Champlain Rouses Point,New York,0712,US-Canada Border,Nov-23,Truck Containers Empty,0,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Trout River,New York,0715,US-Canada Border,Nov-23,Bus Passengers,81,44.992,-74.308,POINT (-74.308172 44.992058)
San Ysidro,California,2504,US-Mexico Border,Nov-23,Train Passengers,0,32.543,-117.029,POINT (-117.028761 32.542528)
Dalton Cache,Alaska,3106,US-Canada Border,Nov-23,Truck Containers Loaded,0,59.451,-136.362,POINT (-136.361944 59.450556)
Westhope,North Dakota,3419,US-Canada Border,Nov-23,Rail Containers Loaded,0,49,-101.017,POINT (-101.017277 48.999611)
Derby Line,Vermont,0209,US-Canada Border,Nov-23,Rail Containers Empty,0,45.006,-72.099,POINT (-72.099279 45.005739)
Porthill,Idaho,3308,US-Canada Border,Nov-23,Personal Vehicle Passengers,28663,49,-116.499,POINT (-116.49925 48.999861)
Trout River,New York,0715,US-Canada Border,Nov-23,Personal Vehicles,13887,44.992,-74.308,POINT (-74.308172 44.992058)
Del Bonita,Montana,3322,US-Canada Border,Nov-23,Rail Containers Loaded,0,48.999,-112.788,POINT (-112.78825 48.998555)
Van Buren,Maine,0108,US-Canada Border,Nov-23,Bus Passengers,140,47.16,-67.931,POINT (-67.930799 47.159645)
Metaline Falls,Washington,3025,US-Canada Border,Nov-23,Rail Containers Empty,0,49,-117.299,POINT (-117.299444 48.999972)
Andrade,California,2502,US-Mexico Border,Nov-23,Rail Containers Loaded,0,32.718,-114.728,POINT (-114.72832 32.718143)
Sasabe,Arizona,2606,US-Mexico Border,Nov-23,Trains,0,31.483,-111.544,POINT (-111.544363 31.483039)
Del Rio,Texas,2302,US-Mexico Border,Nov-23,Bus Passengers,579,29.327,-100.928,POINT (-100.927612 29.326784)
Derby Line,Vermont,0209,US-Canada Border,Nov-23,Train Passengers,0,45.006,-72.099,POINT (-72.099279 45.005739)
Van Buren,Maine,0108,US-Canada Border,Nov-23,Trains,26,47.16,-67.931,POINT (-67.930799 47.159645)
Brownsville,Texas,2301,US-Mexico Border,Nov-23,Personal Vehicle Passengers,1226499,25.952,-97.401,POINT (-97.40067 25.95155)
Rio Grande City,Texas,2307,US-Mexico Border,Nov-23,Personal Vehicle Passengers,161470,26.366,-98.803,POINT (-98.802513 26.365761)
Oroville,Washington,3019,US-Canada Border,Nov-23,Truck Containers Empty,0,49,-119.462,POINT (-119.461833 49.000083)
Del Rio,Texas,2302,US-Mexico Border,Nov-23,Trains,0,29.327,-100.928,POINT (-100.927612 29.326784)
Van Buren,Maine,0108,US-Canada Border,Nov-23,Train Passengers,0,47.16,-67.931,POINT (-67.930799 47.159645)
Carbury,North Dakota,3421,US-Canada Border,Nov-23,Pedestrians,0,48.999,-100.556,POINT (-100.555805 48.999416)
Columbus,New Mexico,2406,US-Mexico Border,Nov-23,Rail Containers Empty,0,31.784,-107.628,POINT (-107.627948 31.783742)
Baudette,Minnesota,3424,US-Canada Border,Nov-23,Personal Vehicles,16528,48.719,-94.59,POINT (-94.590467 48.719109)
Fort Kent,Maine,0110,US-Canada Border,Nov-23,Train Passengers,0,47.249,-68.604,POINT (-68.603918 47.249206)
Hidalgo,Texas,2305,US-Mexico Border,Nov-23,Pedestrians,210269,26.095,-98.271,POINT (-98.271092 26.095032)
Hansboro,North Dakota,3415,US-Canada Border,Nov-23,Trucks,40,49,-99.347,POINT (-99.346527 48.999583)
Grand Portage,Minnesota,3613,US-Canada Border,Nov-23,Truck Containers Loaded,1613,48.001,-89.585,POINT (-89.58515 48.001427)
Port Huron,Michigan,3802,US-Canada Border,Nov-23,Truck Containers Loaded,46172,42.999,-82.424,POINT (-82.423611 42.998611)
Portal,North Dakota,3403,US-Canada Border,Nov-23,Train Passengers,339,48.999,-102.552,POINT (-102.551944 48.998944)
Noyes,Minnesota,3402,US-Canada Border,Nov-23,Truck Containers Loaded,0,49,-97.207,POINT (-97.206601 49.000171)
Roosville,Montana,3318,US-Canada Border,Nov-23,Rail Containers Loaded,0,49,-115.056,POINT (-115.056027 48.999638)
Carbury,North Dakota,3421,US-Canada Border,Nov-23,Personal Vehicles,1067,48.999,-100.556,POINT (-100.555805 48.999416)
Van Buren,Maine,0108,US-Canada Border,Nov-23,Trains,22,47.16,-67.931,POINT (-67.930799 47.159645)
Opheim,Montana,3317,US-Canada Border,Nov-23,Train Passengers,0,49,-106.378,POINT (-106.377583 48.999527)
Trout River,New York,0715,US-Canada Border,Nov-23,Rail Containers Loaded,0,44.992,-74.308,POINT (-74.308172 44.992058)
Northgate,North Dakota,3406,US-Canada Border,Nov-23,Trains,0,48.999,-102.275,POINT (-102.27475 48.998833)
Tecate,California,2505,US-Mexico Border,Nov-23,Rail Containers Loaded,0,32.576,-116.626,POINT (-116.626216 32.576428)
Alexandria Bay,New York,0708,US-Canada Border,Nov-23,Pedestrians,0,44.347,-75.984,POINT (-75.983592 44.347229)
Beecher Falls,Vermont,0206,US-Canada Border,Nov-23,Pedestrians,7,45.013,-71.505,POINT (-71.505309 45.013411)
Dalton Cache,Alaska,3106,US-Canada Border,Nov-23,Truck Containers Loaded,0,59.451,-136.362,POINT (-136.361944 59.450556)
San Luis,Arizona,2608,US-Mexico Border,Nov-23,Train Passengers,0,32.485,-114.782,POINT (-114.7822222 32.485)
Turner,Montana,3306,US-Canada Border,Nov-23,Buses,0,49,-108.388,POINT (-108.387916 48.999527)
Scobey,Montana,3309,US-Canada Border,Nov-23,Personal Vehicle Passengers,934,49,-105.408,POINT (-105.407638 48.999527)
Portland,Maine,0101,US-Canada Border,Nov-23,Truck Containers Loaded,0,43.659,-70.243,POINT (-70.243056 43.659444)
Piegan,Montana,3316,US-Canada Border,Nov-23,Personal Vehicles,2793,48.998,-113.379,POINT (-113.378777 48.998083)
San Ysidro,California,2504,US-Mexico Border,Nov-23,Personal Vehicles,0,32.543,-117.029,POINT (-117.028761 32.542528)
Dalton Cache,Alaska,3106,US-Canada Border,Nov-23,Trains,0,59.451,-136.362,POINT (-136.361944 59.450556)
Pinecreek,Minnesota,3425,US-Canada Border,Nov-23,Pedestrians,0,49,-95.978,POINT (-95.977694 48.999916)
Eagle Pass,Texas,2303,US-Mexico Border,Nov-23,Personal Vehicles,222472,28.705,-100.512,POINT (-100.511977 28.705483)
Piegan,Montana,3316,US-Canada Border,Nov-23,Bus Passengers,3180,48.998,-113.379,POINT (-113.378777 48.998083)
Skagway,Alaska,3103,US-Canada Border,Nov-23,Trucks,203,59.63,-135.164,POINT (-135.164444 59.629722)
Portland,Maine,0101,US-Canada Border,Nov-23,Bus Passengers,288,43.659,-70.243,POINT (-70.243056 43.659444)
Andrade,California,2502,US-Mexico Border,Nov-23,Pedestrians,58377,32.718,-114.728,POINT (-114.72832 32.718143)
Eastport,Idaho,3302,US-Canada Border,Nov-23,Personal Vehicle Passengers,19675,49.001,-116.181,POINT (-116.181027 49.000555)
Oroville,Washington,3019,US-Canada Border,Nov-23,Rail Containers Loaded,0,49,-119.462,POINT (-119.461833 49.000083)
Blaine,Washington,3004,US-Canada Border,Nov-23,Rail Containers Empty,1166,48.994,-122.749,POINT (-122.748884 48.994045)
Oroville,Washington,3019,US-Canada Border,Nov-23,Rail Containers Empty,0,49,-119.462,POINT (-119.461833 49.000083)
Morgan,Montana,3319,US-Canada Border,Nov-23,Trucks,179,49,-107.832,POINT (-107.831819 48.999829)
Fort Kent,Maine,0110,US-Canada Border,Nov-23,Personal Vehicle Passengers,64240,47.249,-68.604,POINT (-68.603918 47.249206)
Tecate,California,2505,US-Mexico Border,Nov-23,Trucks,4918,32.576,-116.626,POINT (-116.626216 32.576428)
Ambrose,North Dakota,3410,US-Canada Border,Nov-23,Bus Passengers,0,48.999,-103.487,POINT (-103.486555 48.999305)
Ambrose,North Dakota,3410,US-Canada Border,Nov-23,Personal Vehicles,513,48.999,-103.487,POINT (-103.486555 48.999305)
Eastport,Idaho,3302,US-Canada Border,Nov-23,Buses,26,49.001,-116.181,POINT (-116.181027 49.000555)
Antler,North Dakota,3413,US-Canada Border,Nov-23,Personal Vehicles,980,48.999,-101.296,POINT (-101.296055 48.999472)
Madawaska,Maine,0109,US-Canada Border,Nov-23,Personal Vehicle Passengers,118543,47.36,-68.329,POINT (-68.328684 47.360052)
Buffalo Niagara Falls,New York,0901,US-Canada Border,Nov-23,Personal Vehicle Passengers,2214241,43.095,-79.056,POINT (-79.055847 43.09549)
Tornillo,Texas,2404,US-Mexico Border,Nov-23,Personal Vehicles,52921,31.435,-106.143,POINT (-106.142669 31.435334)
Fort Fairfield,Maine,0107,US-Canada Border,Nov-23,Trains,0,46.765,-67.789,POINT (-67.789471 46.765323)
Dunseith,North Dakota,3422,US-Canada Border,Nov-23,Trains,0,48.999,-100.052,POINT (-100.052166 48.999277)
Sarles,North Dakota,3409,US-Canada Border,Nov-23,Personal Vehicle Passengers,805,49,-98.938,POINT (-98.938361 49.000027)
International Falls,Minnesota,3604,US-Canada Border,Nov-23,Train Passengers,768,48.608,-93.401,POINT (-93.401355 48.6078)
Port Huron,Michigan,3802,US-Canada Border,Nov-23,Trains,394,42.999,-82.424,POINT (-82.423611 42.998611)
Dunseith,North Dakota,3422,US-Canada Border,Nov-23,Trains,0,48.999,-100.052,POINT (-100.052166 48.999277)
Westhope,North Dakota,3419,US-Canada Border,Nov-23,Bus Passengers,0,49,-101.017,POINT (-101.017277 48.999611)
Naco,Arizona,2603,US-Mexico Border,Nov-23,Bus Passengers,0,31.334,-109.948,POINT (-109.948413 31.334084)
